彖	乛豕 vu
皮	乛又 vi
发	乛丶 vx
艮	彐乀 ny
炙	丿火 pl
兼	丷乀 by
段	丿又 pi
留	丿田 pt
聚	耳乀 qy
具	具八 qz
乒	丘丿 qp
彝	乛廾 vc
疏	乛乛 vv
丧	十乀 uy
岛	丿山 pn
师	丨巾 sj
幺	乛厶 vs
彘	乛匕 vb
戢	口一 kh
枭	丿木 pm
隶	乛乀 vy
亦	亠丶 wx
壅	亠土 wt
帘	宀巾 bj
方	丶万 xw
棠	⺌木 xm
毋	乛一 vh
毌	乛一 vh
母	乛丶 vx
璧	尸玉 sy
石	一口 hk
窝	宀内 bn
骨	丨月 sl
敢	乛攵 vw
见	冂见 nq
象	𠂊乀 xy
乙	乛乛 vv
亟	了一 lh
余	人余 rh
其	其八 qz
羔	𦍌灬 yh
餮	歹良 dl
乔	夭丨 ys
卸	午卩 wq
庚	广乀 by
彧	一丶 hx
戌	戊一 wh
截	十龶 uf
拜	龵丰 uf
爿	乛丿 vp
直	十具 uq
瞿	目龶 gf
裳	⺌𧘇 xf
雏	𠂊龶 xf
丞	了一 lh
乓	丘丶 qx
互	一一 hh
兀	一儿 hq
典	丨八 sz
击	一凵 hn
卣	丨一 sh
孓	乛乀 vy
寿	寿寸 fc
巯	乛乛 vv
帝	亠巾 wj
弗	乛丨 vs
彳	丿亻 pr
既	既乛 gv
日	囗一 wh
曰	囗一 wh
月	冂一 nh
民	乛乛 vv
目	囗一 wh
贸	丿人 pr
鸟	乌丶 wx
鸩	丶鸟 xn
黻	业丶 yx
丑	乛一 vh
世	一乛 hv
乞	丿乛 pv
产	立丿 lp
匆	勹丶 bx
卤	丨乂 sx
卯	丿卩 pq
咸	戌口 xk
威	戌女 xn
帅	丨巾 sj
弈	亠廾 wc
彦	产丿 ip
戊	戈丿 gp
戍	戊丶 wx
掌	⺌手 xu
攀	木手 mu
断	米斤 hi
暨	既一 gh
椓	木乀 my
瀣	氵韭 dj
爨	丿火 pl
牚	⺌牙 xy
璺	丿玉 py
盥	丿皿 pm
矛	龴丿 sp
羸	亡凡 wf
肃	乛丶 vx
舆	丿八 pz
舞	丿丨 ps
衮	亠𧘇 wf
衰	亠𧘇 wf
釜	八一 zh
銮	亠金 wj
阜	丿十 pu
临	丨一 sh
充	亠儿 wq
兆	儿丶 qx
党	⺌儿 xq
六	亠八 wz
午	丿干 pt
即	既卩 gq
卿	丿卩 pq
句	勹口 bk
哥	丁口 dk
商	亠口 wk
善	羊口 yk
噗	口乀 ky
坐	人土 rt
堂	⺌土 xt
墣	土乀 ty
壮	冫士 dt
复	丿夂 pw
夔	丷夂 bw
奕	亠大 wd
奡	一丨 hs
妆	冫女 dn
娈	亠女 wn
孑	乛一 vh
将	冫寸 dc
尸	乛丿 vp
巴	巳丨 ss
希	乂巾 xj
常	⺌巾 xj
幞	巾乀 jy
弋	一丶 hx
录	彐氺 nu
敖	龶攵 fw
无	一尢 hy
曌	日工 pg
栾	亠木 wm
桑	又木 im
榖	士又 ti
毅	立又 li
溯	氵月 dl
漦	未水 wu
状	冫犬 dq
璞	王乀 wy
番	丿田 pt
皱	𠂊又 xi
矢	丿天 pt
禀	亠小 wc
缶	午凵 wn
脔	亠人 wr
膏	亠月 wl
蔗	艹灬 ch
虢	丿几 pj
蠃	亡凡 wf
言	亠口 wk
赤	土丶 tx
蹼	𧾷乀 zy
躐	𧾷乛 zv
醭	酉乀 fy
镳	钅灬 jh
隺	丶龶 xf
馨	士日 tp
鬲	一丨 hs
鸾	亠鸟 wn
鼋	二电 qd
鼍	口电 kd
举	𭕄丨 xs
介	人丨 rs
养	⺶丨 ys
凫	丿几 pj
夜	亠乀 wy
央	丨夬 sg
手	丿丨 ps
斯	其斤 qi
氘	气丨 qs
甚	其乛 qv
穙	禾乀 hy
赏	⺌人 xr
释	丿丨 ps
飨	乡良 xl
鬣	一乛 hv
鼎	目乛 gv
亘	一一 hh
以	乛人 vr
函	了凵 ln
印	丿卩 pq
坒	比土 bt
基	其土 qt
奏	寿天 ft
妻	一女 hn
嶲	山乛 nv
惎	其心 qx
愭	忄日 xp
春	寿日 fp
更	一乀 hy
曹	一日 hp
期	其月 ql
榰	木日 mp
毕	比十 bu
毙	比匕 bb
泰	寿氺 fu
滫	氵月 dl
瀌	氵灬 dh
眉	乛目 vg
秦	寿禾 fh
稙	禾具 hq
窥	宀见 bq
綦	其小 qc
羲	𦍌丶 yx
翘	一习 hx
舂	寿臼 fj
衢	彳亍 ii
观	又见 iq
规	夫见 fq
觅	丿见 pq
视	礻见 pq
觉	𭕄见 xq
觊	山见 nq
邋	辶乛 zv
邦	寿阝 fq
镤	钅乀 jy
雀	少龶 uf
雅	牙龶 yf
雎	且龶 qf
靓	龶见 fq
顷	比人 br
食	人良 rl
飧	夕良 xl
餍	厂良 il
饔	亠良 wl
鳍	鱼日 gp
齐	文丨 ws
专	一丶 hx
值	亻具 rq
免	𠂊乛 xv
农	丶乀 xy
制	丿刂 pd
副	一刂 hd
北	丨匕 sb
卑	丿十 pu
单	丷丨 bs
叠	又且 iq
埴	土具 tq
宽	宀见 bq
探	扌木 fm
擢	扌龶 ff
攉	扌龶 ff
曜	日龶 pf
植	木具 mq
殖	歹具 dq
殷	丿又 pi
澭	氵龶 df
濉	氵龶 df
濯	氵龶 df
獾	犭龶 qf
癯	疒龶 bf
矗	十具 uq
离	亠丶 wx
绛	纟丨 ss
置	罒具 sq
罹	罒龶 sf
耀	⺌龶 xf
臃	月龶 lf
蕹	艹龶 cf
袅	丿𧘇 pf
豕	一乀 hy
豸	丿丿 pp
趯	土龶 tf
躏	𧾷龶 zf
隹	亻龶 rf
雄	𠂇龶 uf
鹿	广匕 bb
万	一丿 hp
上	丨一 sh
下	一卜 hb
不	一丶 hx
丕	不一 bh
丘	丿一 ph
丸	丿丶 px
乃	乛丿 vp
久	丿乀 py
